"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"519","LUX","Europe",2013,5.23557,11.27582,"Luxembourg",131592.6,0.32035962,3.35794877864449
"520","FRA","Europe",2008,10.50085,18.26131,"France",51387.543,0.32996443,4.27332540300876
"521","PAN","Americas",2011,6.83196,3.90154,"Panama",24999.46,0.51347023,1.97523163198649
"522","BRA","Americas",2005,8.0354,4.98688,"Brazil",15221.014,0.56309944,2.23313232926309
"523","LUX","Europe",2009,6.94993,11.02429,"Luxembourg",130637.42,0.31196916,3.32028462635359
"524","GEO","Europe",2021,8.31533,5.09907,"Georgia",18915.654,0.3417846,2.25811204327863
"525","MRT","Africa",2000,3.37825,2.73414,"Mauritania",5008.608,0.39028475,1.65352351056766
"526","PRT","Europe",2021,11.12368,11.51811,"Portugal",38862.09,0.3459202,3.39383411497969
"527","HND","Americas",2004,6.85484,3.33727,"Honduras",4885.343,0.58094627,1.82681964079654
"528","SWE","Europe",2005,8.15084,15.72979,"Sweden",53539.113,0.26821113,3.96607992859448
"529","LUX","Europe",2010,6.66263,11.68707,"Luxembourg",133098.05,0.3050438,3.4186356927874
"530","UKR","Europe",2017,7.44188,21.81332,"Ukraine",16310.36,0.26049048,4.67047320942964
"531","IDN","South-East Asia",2003,2.24837,2.09256,"Indonesia",6599.092,0.29323187,1.44656835303417
"532","TGO","Africa",2015,6.21764,9.80746,"Togo",2317.5479,0.43023092,3.13168644662904
"533","CAF","Africa",2021,9.15271,9.18932,"Central African Republic",1128.5524,0.43027893,3.03138912051884
"534","PAN","Americas",2000,6.98487,4.66208,"Panama",14572.976,0.5659207,2.15918503144126
"535","CRI","Americas",2020,7.82546,6.36211,"Costa Rica",22479.59,0.4924514,2.52232234260413
"536","BRA","Americas",2007,8.20183,5.17613,"Brazil",16440.584,0.54918945,2.27511098630375
"537","MEX","Americas",2004,5.6835,4.11297,"Mexico",20368.49,0.50343114,2.0280458574697
"538","UKR","Europe",2006,6.41719,28.68635,"Ukraine",16901.508,0.29794392,5.35596396552479
"539","GNB","Africa",2002,3.96903,7.76514,"Guinea-Bissau",1997.1658,0.3556889,2.78660007894926
"540","SWZ","Africa",2000,4.60952,12.531,"Eswatini",6197.05,0.5311352,3.53991525322288
"541","CIV","Africa",2008,4.13871,5.81245,"Cote d'Ivoire",4096.7236,0.43179876,2.41090232070899
"542","NOR","Europe",2019,10.43808,12.57468,"Norway",87947.55,0.2774182,3.54607952533499
"543","POL","Europe",2015,6.40416,15.8459,"Poland",32252.387,0.3175091,3.98069089480708
"544","HND","Americas",2017,7.00669,3.00207,"Honduras",6099.6074,0.49441433,1.73264826205436
"545","SWE","Europe",2006,8.05227,15.18824,"Sweden",55728.254,0.26351255,3.89720925791777
"546","NAM","Africa",2015,9.9811,9.51883,"Namibia",12166.565,0.5906661,3.0852601186934
"547","BDI","Africa",2013,8.62835,7.04441,"Burundi",970.37537,0.38623992,2.65413074282334
"548","ESP","Europe",2019,9.13488,8.09842,"Spain",46682.477,0.34303716,2.8457723029083
"549","BEL","Europe",2020,11.26482,16.88794,"Belgium",58500.633,0.2595828,4.10949388611298
"550","VNM","Western Pacific",2016,4.86995,7.60317,"Vietnam",9743.188,0.3526674,2.75738463040614
"551","PRY","Americas",2004,4.93224,4.53353,"Paraguay",10187.194,0.52260363,2.12920877323009
"552","BOL","Americas",2016,6.83333,5.58206,"Bolivia",9390.791,0.45240772,2.36263835573708
